t_s,theta_rad_clean,omega_rad_s_clean,theta_rad_noisy,omega_rad_s_noisy
3.920000,-0.0930796841,2.1526259923,-0.1062820162,2.1539913456
3.930000,-0.0714692710,2.1687523536,-0.0531546833,2.1650991381
3.940000,-0.0497187828,2.1806353331,-0.0379243816,2.1824821361
3.950000,-0.0278708063,2.1882460547,-0.0325625629,2.1747747918
3.960000,-0.0059681655,2.1915659759,-0.0230995108,2.1818498355
3.970000,0.0159461823,2.1905869960,0.0294849061,2.2025911351
3.980000,0.0378292515,2.1853115045,0.0366838531,2.1787425618
3.990000,0.0596381325,2.1757523668,0.0720162956,2.1652832570
4.000000,0.0813300964,2.1619328481,0.0653858198,2.1672993756
4.010000,0.1028626988,2.1438864777,0.0968689486,2.1557435193
4.020000,0.1241938807,2.1216568542,0.1242463177,2.1288463873
4.030000,0.1452820687,2.0952973952,0.1457518746,2.1052578721
4.040000,0.1660862713,2.0648710360,0.1615856166,2.0573030851
4.050000,0.1865661725,2.0304498797,0.1927946718,2.0162317731
4.060000,0.2066822216,1.9921148070,0.1960060173,2.0071281435
4.070000,0.2263957188,1.9499550475,0.2249719239,1.9467282491
4.080000,0.2456688965,1.9040677217,0.2468718528,1.9015593916
4.090000,0.2644649956,1.8545573581,0.2696093840,1.8678392995
4.100000,0.2827483376,1.8015353925,0.2898644864,1.8070976926
4.110000,0.3004843903,1.7451196555,0.2892379694,1.7496785333
4.120000,0.3176398299,1.6854338555,0.3022986882,1.7070838790
4.130000,0.3341825969,1.6226070614,0.3469593651,1.6161718791
4.140000,0.3500819470,1.5567731931,0.3534050872,1.5660515944
4.150000,0.3653084976,1.4880705234,0.3578236323,1.4886406546
4.160000,0.3798342683,1.4166411968,0.3953457880,1.4193271196
4.170000,0.3936327176,1.3426307704,0.3947894639,1.3579154546
4.180000,0.4066787748,1.2661877782,0.4184717467,1.2712661357
4.190000,0.4189488680,1.1874633253,0.4196240528,1.1928462861
4.200000,0.4304209473,1.1066107115,0.4510284265,1.1173357848
4.210000,0.4410745054,1.0237850875,0.4586279138,1.0201355602
4.220000,0.4508905945,0.9391431445,0.4484009530,0.9307510479
4.230000,0.4598518403,0.8528428380,0.4695675498,0.8423947460
4.240000,0.4679424532,0.7650431440,0.4743962127,0.7453795781
4.250000,0.4751482377,0.6759038494,0.4888345533,0.6964659207
4.260000,0.4814565995,0.5855853727,0.4718073649,0.5745532891
4.270000,0.4868565509,0.4942486148,0.4937170655,0.4920360785
4.280000,0.4913387150,0.4020548359,0.5019229599,0.3992867029
4.290000,0.4948953292,0.3091655577,0.4773079344,0.3122396247
4.300000,0.4975202469,0.2157424857,0.4856876617,0.2238998578
4.310000,0.4992089391,0.1219474487,0.4788166173,0.1305521836
4.320000,0.4999584957,0.0279423533,0.4972644273,0.0221115789
4.330000,0.4997676258,-0.0661108542,0.5069430483,-0.0677820713
4.340000,0.4986366580,-0.1600502182,0.5136602286,-0.1572244187
4.350000,0.4965675407,-0.2537138044,0.4973084885,-0.2562007156
4.360000,0.4935638408,-0.3469397331,0.5098499963,-0.3308662773
4.370000,0.4896307442,-0.4395662190,0.4758297296,-0.4346564695
4.380000,0.4847750534,-0.5314316233,0.4677412290,-0.5240828455
4.390000,0.4790051867,-0.6223745199,0.4784497098,-0.6157457072
4.400000,0.4723311752,-0.7122337812,0.4761718297,-0.7004990426
4.410000,0.4647646590,-0.8008486859,0.4644377116,-0.7990384704
4.420000,0.4563188833,-0.8880590523,0.4356444623,-0.9010273718
4.430000,0.4470086915,-0.9737053991,0.4461174911,-0.9697085196
4.440000,0.4368505175,-1.0576291375,0.4238058225,-1.0641427064
4.450000,0.4258623758,-1.1396727938,0.4325591013,-1.1449589607
4.460000,0.4140638491,-1.2196802670,0.4177298315,-1.2138166268
4.470000,0.4014760728,-1.2974971180,0.3920772749,-1.2851142873
4.480000,0.3881217172,-1.3729708947,0.3829830481,-1.3727581789
4.490000,0.3740249658,-1.4459514883,0.3634328306,-1.4428631581
4.500000,0.3592114897,-1.5162915222,0.3585846987,-1.4992693728
4.510000,0.3437084184,-1.5838467708,0.3532598416,-1.5814392390
4.520000,0.3275443061,-1.6484766040,0.3176870456,-1.6224597729
4.530000,0.3107490934,-1.7100444568,0.3157895586,-1.7043893603
4.540000,0.2933540642,-1.7684183171,0.2880514880,-1.7860259447
4.550000,0.2753917975,-1.8234712299,0.2674630692,-1.8159378137
4.560000,0.2568961147,-1.8750818099,0.2558258111,-1.8712702260
4.570000,0.2379020208,-1.9231347596,0.2275495976,-1.9102372320
4.580000,0.2184456414,-1.9675213854,0.2129091483,-1.9607895719
4.590000,0.1985641536,-2.0081401060,0.1865853747,-2.0095246658
4.600000,0.1782957131,-2.0448969465,0.1979429644,-2.0571399288
4.610000,0.1576793749,-2.0777060122,0.1580320104,-2.0797962448
4.620000,0.1367550110,-2.1064899354,0.1297577559,-2.1149951399
4.630000,0.1155632225,-2.1311802888,0.1177030216,-2.1369855233
4.640000,0.0941452485,-2.1517179607,0.0930219680,-2.1458321766
4.650000,0.0725428715,-2.1680534850,0.0703331755,-2.1513544399
4.660000,0.0507983189,-2.1801473228,0.0569399859,-2.1762006075
4.670000,0.0289541631,-2.1879700906,0.0365292402,-2.1999289212
4.680000,0.0070532187,-2.1915027308,0.0017482072,-2.1870567041
4.690000,-0.0148615612,-2.1907366244,-0.0206197436,-2.1787703096
4.700000,-0.0367471897,-2.1856736413,-0.0394977067,-2.1917714704
4.710000,-0.0585607511,-2.1763261293,-0.0815799628,-2.1776663010
4.720000,-0.0802595052,-2.1627168416,-0.0954114159,-2.1625699597
4.730000,-0.1018009910,-2.1448788034,-0.0881322483,-2.1527277865
4.740000,-0.1231431281,-2.1228551201,-0.1066934509,-2.1163723158
4.750000,-0.1442443166,-2.0966987300,-0.1467346770,-2.0979082115
4.760000,-0.1650635342,-2.0664721048,-0.1592979646,-2.0622767804
4.770000,-0.1855604292,-2.0322469029,-0.1824479276,-2.0411218246
4.780000,-0.2056954109,-1.9941035798,-0.1749066028,-1.9984781628
4.790000,-0.2254297356,-1.9521309626,-0.2142339864,-1.9449071490
4.800000,-0.2447255875,-1.9064257921,-0.2460047634,-1.9101541237
4.810000,-0.2635461560,-1.8570922419,-0.2731015605,-1.8398226033
4.820000,-0.2818557074,-1.8042414175,-0.2979201706,-1.8082377794
4.830000,-0.2996196512,-1.7479908454,-0.2975850149,-1.7457439982
4.840000,-0.3168046026,-1.6884639549,-0.3243681101,-1.6791380466
4.850000,-0.3333784381,-1.6257895616,-0.3476009752,-1.6399732189
4.860000,-0.3493103473,-1.5601013572,-0.3557760762,-1.5777094453
4.870000,-0.3645708790,-1.4915374103,-0.3753863591,-1.5067939734
4.880000,-0.3791319826,-1.4202396849,-0.3622605662,-1.4076138439
4.890000,-0.3929670445,-1.3463535794,-0.3841506469,-1.3518721609
4.900000,-0.4060509206,-1.2700274903,-0.4061306470,-1.2444454975
4.910000,-0.4183599640,-1.1914124046,-0.4035605226,-1.1970548806
4.920000,-0.4298720491,-1.1106615216,-0.4290983661,-1.1088160086
4.930000,-0.4405665919,-1.0279299080,-0.4491794339,-1.0125088085
4.940000,-0.4504245668,-0.9433741858,-0.4351933260,-0.9233132569
4.950000,-0.4594285214,-0.8571522535,-0.4540394210,-0.8365372177
4.960000,-0.4675625875,-0.7694230420,-0.4779350491,-0.7573393796
4.970000,-0.4748124904,-0.6803463024,-0.4767158772,-0.6701056771
4.980000,-0.4811655564,-0.5900824258,-0.4899217389,-0.5841571563
4.990000,-0.4866107180,-0.4987922921,-0.5004387154,-0.4910086814
5.000000,-0.4911385188,-0.4066371465,-0.4818767433,-0.4121490037
5.010000,-0.4947411159,-0.3137784996,-0.4756469495,-0.3219604885
5.020000,-0.4974122828,-0.2203780493,-0.5113979585,-0.2204117939
5.030000,-0.4991474103,-0.1265976196,-0.4935177180,-0.1282994658
5.040000,-0.4999435083,-0.0325991140,-0.5064499339,-0.0371313945
5.050000,-0.4997992055,0.0614555222,-0.5046704593,0.0684193967
5.060000,-0.4987147506,0.1554043333,-0.5046386898,0.1649573854
5.070000,-0.4966920114,0.2490853832,-0.5053319191,0.2499694521
5.080000,-0.4937344751,0.3423367885,-0.4932492588,0.3571120893
5.090000,-0.4898472471,0.4349967583,-0.4981567482,0.4235798672
5.100000,-0.4850370502,0.5269036450,-0.4823324819,0.5249670504
5.110000,-0.4793122226,0.6178960101,-0.4798146037,0.6107277869
5.120000,-0.4726827156,0.7078127090,-0.4750721961,0.6891473428
5.130000,-0.4651600899,0.7964929973,-0.4742357265,0.7956661904
5.140000,-0.4567575111,0.8837766629,-0.4625252244,0.8825591878
5.150000,-0.4474897438,0.9695041858,-0.4399358316,0.9846386833
5.160000,-0.4373731435,1.0535169279,-0.4323639716,1.0598250447
5.170000,-0.4264256465,1.1356573546,-0.4362011989,1.1254154864
5.180000,-0.4146667582,1.2157692903,-0.4136734351,1.2343102159
5.190000,-0.4021175376,1.2936982063,-0.3946036664,1.3059085433
5.200000,-0.3888005796,1.3692915440,-0.4054946324,1.3751125211
5.210000,-0.3747399931,1.4423990697,-0.3693063912,1.4401342288
5.220000,-0.3599613763,1.5128732620,-0.3665876139,1.5032788697
5.230000,-0.3444917873,1.5805697288,-0.3387858006,1.5768476610
5.240000,-0.3283597107,1.6453476513,-0.3359923022,1.6562351375
5.250000,-0.3115950192,1.7070702517,-0.3296438402,1.7259161148
5.260000,-0.2942289314,1.7656052811,-0.3105043558,1.7810377164
5.270000,-0.2762939635,1.8208255217,-0.2758131140,1.8159370275
5.280000,-0.2578238765,1.8726093005,-0.2552266515,1.8614131262
5.290000,-0.2388536185,1.9208410064,-0.2478967847,1.9222498688
5.300000,-0.2194192609,1.9654116066,-0.2130333363,1.9477272130
5.310000,-0.1995579307,2.0062191561,-0.2161731313,2.0094508332
5.320000,-0.1793077367,2.0431692920,-0.1799685347,2.0416932661
5.330000,-0.1587076915,2.0761757087,-0.1708178535,2.0715153437
5.340000,-0.1377976286,2.1051606064,-0.1443159897,2.0892135757
5.350000,-0.1166181151,2.1300551059,-0.1161441284,2.1351911070
5.360000,-0.0952103608,2.1507996262,-0.1038144945,2.1454726178
5.370000,-0.0736161234,2.1673442165,-0.0774616789,2.1556450481
5.380000,-0.0518776108,2.1796488406,-0.0418146827,2.1509262185
5.390000,-0.0300373806,2.1876836077,-0.0358062993,2.1874084587
5.400000,-0.0081382379,2.1914289459,0.0002186832,2.2091514619
5.410000,0.0137768686,2.1908757176,0.0024798000,2.2074883098
5.420000,0.0356649512,2.1860252731,0.0409629930,2.1814543105
5.430000,0.0574830883,2.1768894426,0.0718987745,2.1708673220
5.440000,0.0791885284,2.1634904669,0.0544720834,2.1681782095
5.450000,0.1007387944,2.1458608666,0.0927698418,2.1358770122
5.460000,0.1220917846,2.1240432534,0.1278625059,2.1270611724
5.470000,0.1432058732,2.0980900854,0.1411754194,2.1057508882
5.480000,0.1640400068,2.0680633700,0.1677514656,2.0803327022
5.490000,0.1845537985,2.0340343196,0.1785139467,2.0330327789
5.500000,0.2047076179,1.9960829641,0.2055735158,1.9940462266
5.510000,0.2244626773,1.9542977264,0.2229059050,1.9455179005
5.520000,0.2437811132,1.9087749667,0.2554589338,1.9005061632
5.530000,0.2626260635,1.8596185023,0.2651702720,1.8573537133
5.540000,0.2809617395,1.8069391074,0.2843377661,1.8106127625
5.550000,0.2987534926,1.7508540028,0.2946347230,1.7599898490
5.560000,0.3159678770,1.6914863376,0.3110918148,1.6834545481
5.570000,0.3325727055,1.6289646730,0.3282471237,1.6438915587
5.580000,0.3485371016,1.5634224710,0.3524816230,1.5607112350
5.590000,0.3638315456,1.4949975951,0.3596217008,1.4947839222
5.600000,0.3784279168,1.4238318274,0.3813256653,1.4163597106
5.610000,0.3922995296,1.3500704067,0.4130535376,1.3258280041
5.620000,0.4054211666,1.2738615909,0.4141324137,1.2827020449
5.630000,0.4177691061,1.1953562479,0.4145088708,1.2027246868
5.640000,0.4293211466,1.1147074759,0.4413332858,1.1118942003
5.650000,0.4400566273,1.0320702569,0.4359758736,1.0327401640
5.660000,0.4499564453,0.9476011424,0.4295751999,0.9527605346
5.670000,0.4590030699,0.8614579739,0.4489222067,0.8458325154
5.680000,0.4671805541,0.7737996365,0.4484726349,0.7685091097
5.690000,0.4744745443,0.6847858451,0.4709594095,0.6927284919
5.700000,0.4808722873,0.5945769630,0.4810564711,0.5820340688
5.710000,0.4863626361,0.5033338490,0.5031270092,0.5062694283
5.720000,0.4909360543,0.4112177326,0.4942053280,0.3976519146
5.730000,0.4945846191,0.3183901134,0.4923936138,0.3230544132
5.740000,0.4973020238,0.2250126814,0.5055960796,0.2246562666
5.750000,0.4990835794,0.1312472559,0.4769722263,0.1150959377
5.760000,0.4999262153,0.0372557371,0.5022823609,0.0489031306
5.770000,0.4998284803,-0.0567999309,0.5075371322,-0.0641458466
5.780000,0.4987905427,-0.1507577921,0.4840046802,-0.1588603164
5.790000,0.4968141903,-0.2444559088,0.5082517307,-0.2424502168
5.800000,0.4939028300,-0.3377323941,0.4972877940,-0.3262460207
5.810000,0.4900614872,-0.4304254515,0.4859086080,-0.4405836697
5.820000,0.4852968046,-0.5223734248,0.4916246232,-0.5217566263
5.830000,0.4796170405,-0.6134148634,0.5023239690,-0.6091266984
5.840000,0.4730320663,-0.7033886058,0.4748507289,-0.6964575497
5.850000,0.4655533633,-0.7921338848,0.4680355692,-0.7903694693
5.860000,0.4571940177,-0.8794904587,0.4526004087,-0.8831607371
5.870000,0.4479687151,-0.9652987688,0.4394702714,-0.9735746710
5.880000,0.4378937323,-1.0494001283,0.4461970905,-1.0485386895
5.890000,0.4269869278,-1.1316369425,0.4184260896,-1.1423583327
5.900000,0.4152677296,-1.2118529618,0.4159833920,-1.2410664667
5.910000,0.4027571202,-1.2898935689,0.3979805457,-1.2855279709
5.920000,0.3894776187,-1.3656060993,0.3942674170,-1.3565667509
5.930000,0.3754532599,-1.4388401954,0.3787898810,-1.4624695197
5.940000,0.3607095688,-1.5094481919,0.3710849683,-1.5195454989
5.950000,0.3452735320,-1.5772855316,0.3401733680,-1.5710939889
5.960000,0.3291735642,-1.6422112079,0.3264748148,-1.6216362532
5.970000,0.3124394705,-1.7040882318,0.3026518334,-1.7038802948
5.980000,0.2951024039,-1.7627841182,0.2906594713,-1.7700641477
5.990000,0.2771948175,-1.8181713884,0.2809678224,-1.8200003528
6.000000,0.2587504121,-1.8701280824,0.2663202982,-1.8563793183
6.010000,0.2398040782,-1.9185382770,0.2305824250,-1.9249979188
6.020000,0.2203918335,-1.9632926017,0.2290878927,-1.9712845218
6.030000,0.2005507543,-2.0042887487,0.2141071329,-2.0091161839
6.040000,0.1803189026,-2.0414319683,0.1844532516,-2.0509652544
6.050000,0.1597352480,-2.0746355453,0.1785032062,-2.0734088421
6.060000,0.1388395856,-2.1038212485,0.1311016936,-2.0875744639
6.070000,0.1176724481,-2.1289197481,0.1052259011,-2.1256889553
6.080000,0.0962750158,-2.1498709941,0.0784878133,-2.1523945291
6.090000,0.0746890216,-2.1666245522,0.0896494647,-2.1695426649
6.100000,0.0529566533,-2.1791398894,0.0595003099,-2.1947717975
6.110000,0.0311204537,-2.1873866079,0.0305646070,-2.1785555101
6.120000,0.0092232180,-2.1913446216,0.0120229043,-2.1921229936
6.130000,-0.0126921097,-2.1910042747,-0.0239470002,-2.1928090738
6.140000,-0.0345825412,-2.1863663977,-0.0101250214,-2.1544353221
6.150000,-0.0564051491,-2.1774423034,-0.0551129373,-2.1744547743
6.160000,-0.0781171712,-2.1642537195,-0.0770232232,-2.1717716300
6.170000,-0.0996761141,-2.1468326615,-0.0924184479,-2.1510962375
6.180000,-0.1210398555,-2.1252212471,-0.1162297631,-2.1137367900
6.190000,-0.1421667434,-2.0994714532,-0.1399279032,-2.0983387491
6.200000,-0.1630156940,-2.0696448222,-0.1709204386,-2.0840276020
6.210000,-0.1835462853,-2.0358121197,-0.1788316017,-2.0266198304
6.220000,-0.2037188473,-1.9980529485,-0.1848986023,-2.0047343894
6.230000,-0.2234945485,-1.9564553266,-0.2100403481,-1.9377223489
6.240000,-0.2428354781,-1.9111152324,-0.2269036118,-1.9003147518
6.250000,-0.2617047224,-1.8621361254,-0.2668168791,-1.8666093443
6.260000,-0.2800664380,-1.8096284475,-0.2899624862,-1.7968182839
6.270000,-0.2978859185,-1.7537091123,-0.2991437877,-1.7530305572
6.280000,-0.3151296570,-1.6945009878,-0.3145724078,-1.6859732510
6.290000,-0.3317654027,-1.6321323792,-0.3208234876,-1.6272850510
6.300000,-0.3477622132,-1.5667365177,-0.3646868595,-1.5752000842
6.310000,-0.3630905007,-1.4984510603,-0.3477949975,-1.5048865587
6.320000,-0.3777220740,-1.4274176064,-0.3793021530,-1.4171179982
6.330000,-0.3916301761,-1.3537812339,-0.3958989868,-1.3571289872
6.340000,-0.4047895158,-1.2776900614,-0.4149105595,-1.2817265460
6.350000,-0.4171762969,-1.1992948365,-0.4337248636,-1.2088460622
6.360000,-0.4287682421,-1.1187485555,-0.4205365363,-1.1145125649
6.370000,-0.4395446139,-1.0362061148,-0.4388114343,-1.0155808656
6.380000,-0.4494862320,-0.9518239951,-0.4623858410,-0.9624993242
6.390000,-0.4585754874,-0.8657599800,-0.4715262751,-0.8655177854
6.400000,-0.4667963546,-0.7781729082,-0.4701542016,-0.7640507027
6.410000,-0.4741344009,-0.6892224582,-0.4574441856,-0.6900188721
6.420000,-0.4805767936,-0.5990689649,-0.4831727071,-0.5945452470
6.430000,-0.4861123061,-0.5078732657,-0.5011437357,-0.5184972010
6.440000,-0.4907313222,-0.4157965745,-0.4931887529,-0.4115135035
6.450000,-0.4944258392,-0.3230003793,-0.4971530749,-0.3248718219
6.460000,-0.4971894704,-0.2296463624,-0.5241583368,-0.2197890625
6.470000,-0.4990174465,-0.1358963379,-0.4995603951,-0.1240224774
6.480000,-0.4999066168,-0.0419122029,-0.5022159621,-0.0160165665
6.490000,-0.4998554500,0.0521440997,-0.4928933863,0.0579404315
6.500000,-0.4988640341,0.1461106141,-0.4803744731,0.1493685773
6.510000,-0.4969340768,0.2398254008,-0.4856684265,0.2417692438
6.520000,-0.4940689048,0.3331265696,-0.4967577917,0.3295949066
6.530000,-0.4902734635,0.4258523183,-0.5013387226,0.4292371567
6.540000,-0.4855543154,0.5178409824,-0.4598207174,0.5148869683
6.550000,-0.4799196390,0.6089310994,-0.4793274547,0.6106157091
6.560000,-0.4733792259,0.6989614911,-0.4732399330,0.7121374664
6.570000,-0.4659444776,0.7877713681,-0.4661857285,0.7777059425
6.580000,-0.4576284012,0.8752004590,-0.4556475536,0.8865992446
6.590000,-0.4484456031,0.9610891672,-0.4498892073,0.9742603179
6.600000,-0.4384122817,1.0452787579,-0.4441489018,1.0440980726
6.610000,-0.4275462174,1.1276115765,-0.4330148068,1.1063930275
6.620000,-0.4158667607,1.2079313004,-0.4161942934,1.2018530805
6.630000,-0.4033948176,1.2860832241,-0.4088290653,1.2990531695
6.640000,-0.3901528317,1.3619145785,-0.3972812895,1.3616858978
6.650000,-0.3761647631,1.4352748828,-0.3751004609,1.4252818605
6.660000,-0.3614560639,1.5060163291,-0.3640058361,1.5009685799
6.670000,-0.3460536489,1.5739941960,-0.3310137190,1.5824003963
6.680000,-0.3299858630,1.6390672904,-0.3564955611,1.6445346261
6.690000,-0.3132824435,1.7010984129,-0.3023673750,1.6987090919
6.700000,-0.2959744776,1.7599548437,-0.2835136257,1.7562865996
6.710000,-0.2780943553,1.8155088442,-0.2988282576,1.8115912628
6.720000,-0.2596757170,1.8676381693,-0.2631025929,1.8584140675
6.730000,-0.2407533957,1.9162265844,-0.2444678044,1.9323803413
6.740000,-0.2213633548,1.9611643828,-0.2354384717,1.9579411781
6.750000,-0.2015426198,2.0023488949,-0.2093207867,2.0145204801
6.760000,-0.1813292058,2.0396849855,-0.1924349643,2.0548981460
6.770000,-0.1607620395,2.0730855308,-0.1432393351,2.0830686398
6.780000,-0.1398808769,2.1024718696,-0.1305240930,2.0981556665
6.790000,-0.1187262165,2.1277742218,-0.1060106655,2.1318115227
6.800000,-0.0973392086,2.1489320701,-0.0901224879,2.1486901140
6.810000,-0.0757615609,2.1658944966,-0.0870520786,2.1568574780
6.820000,-0.0540354412,2.1786204723,-0.0592806439,2.1818640651
6.830000,-0.0322033771,2.1870790927,-0.0273096315,2.1752886948
6.840000,-0.0103081537,2.1912497584,-0.0225294318,2.2031265522
6.850000,0.0116072898,2.1911222948,0.0187372741,2.1864761219
6.860000,0.0334999649,2.1866970133,0.0310967110,2.1887086098
6.870000,0.0553269388,2.1779847083,0.0515787307,2.1808175871
6.880000,0.0770454386,2.1650065947,0.0841550383,2.1624175449
6.890000,0.0986129553,2.1477941824,0.1030555884,2.1536611204
6.900000,0.1199873456,2.1263890942,0.1163776839,2.1216400576
6.910000,0.1411269321,2.1008428253,0.1527202302,2.1095557983
6.920000,0.1619906007,2.0712164524,0.1511799674,2.0577566556
6.930000,0.1825378942,2.0375802929,0.1886972503,2.0388440887
6.940000,0.2027291036,2.0000135220,0.2086601162,2.0194028120
6.950000,0.2225253538,1.9586037513,0.2194298894,1.9486004380
6.960000,0.2418886864,1.9134465762,0.2451500166,1.9066691265
6.970000,0.2607821369,1.8646450974,0.2482710011,1.8697841759
6.980000,0.2791698070,1.8123094232,0.2884100772,1.8141052410
6.990000,0.2970169327,1.7565561588,0.2951679113,1.7600624598
7.000000,0.3142899462,1.6975078895,0.3090627160,1.7023997608
7.010000,0.3309565334,1.6352926635,0.3414466257,1.6416398782
7.020000,0.3469856858,1.5700434800,0.3399422489,1.5811404785
7.030000,0.3623477475,1.5018977885,0.3482631346,1.5059959751
7.040000,0.3770144575,1.4309970040,0.3614481658,1.4285844275
7.050000,0.3909589867,1.3574860431,0.3970190862,1.3642117801
7.060000,0.4041559708,1.2815128834,0.3913516773,1.3005117027
7.070000,0.4165815389,1.2032281517,0.4341294807,1.2019018143
7.080000,0.4282133380,1.1227847416,0.4073940439,1.1130394485
7.090000,0.4390305540,1.0403374628,0.4559951176,1.0514082695
7.100000,0.4490139289,0.9560427246,0.4511241036,0.9548389130
7.110000,0.4581457759,0.8700582523,0.4571786448,0.8483315569
7.120000,0.4664099907,0.7825428377,0.4609607999,0.7910170545
7.130000,0.4737920616,0.6936561221,0.4777834227,0.6883028403
7.140000,0.4802790765,0.6035584119,0.4799027294,0.6026530791
7.150000,0.4858597292,0.5124105228,0.4968927480,0.5157303261
7.160000,0.4905243236,0.4203736525,0.4916666001,0.4222786493
7.170000,0.4942647772,0.3276092777,0.4957677948,0.3347037959
7.180000,0.4970746231,0.2342790727,0.4934385009,0.2299242090
7.190000,0.4989490119,0.1405448460,0.4983795556,0.1456759040
7.200000,0.4998847129,0.0465684919,0.5029627306,0.0439730251
7.210000,0.4998801144,-0.0474880485,0.4827784305,-0.0400999437
7.220000,0.4989352245,-0.1414628191,0.4854533703,-0.1353091442
7.230000,0.4970516704,-0.2351938789,0.5044843114,-0.2445482659
7.240000,0.4942326989,-0.3285193344,0.4959413533,-0.3176595133
7.250000,0.4904831751,-0.4212773781,0.4886433418,-0.4266370125
7.260000,0.4858095817,-0.5133063372,0.4859939210,-0.5052257593
7.270000,0.4802200169,-0.6044447375,0.4836958340,-0.6007718644
7.280000,0.4737241928,-0.6945313844,0.4683265960,-0.6761495476
7.290000,0.4663334312,-0.7834054665,0.4585503839,-0.7856401263
7.300000,0.4580606598,-0.8709066831,0.4600191123,-0.8743998511
7.310000,0.4489204060,-0.9568754003,0.4391366782,-0.9570695963
7.320000,0.4389287895,-1.0411528356,0.4430113170,-1.0441846334
7.330000,0.4281035127,-1.1235812753,0.4110776767,-1.1155818563
7.340000,0.4164638488,-1.2040043244,0.4267554052,-1.2201674305
7.350000,0.4040306270,-1.2822671902,0.4087566019,-1.2928040144
7.360000,0.3908262154,-1.3582169997,0.3933865128,-1.3688950289
7.370000,0.3768744995,-1.4317031500,0.3867014094,-1.4222000740
7.380000,0.3622008581,-1.5025776912,0.3788556026,-1.4854715575
7.390000,0.3468321344,-1.5706957391,0.3569758351,-1.5717402313
7.400000,0.3307966033,-1.6359159151,0.3123878610,-1.6376041323
7.410000,0.3141239342,-1.6981008106,0.3013281645,-1.6974002890
7.420000,0.2968451485,-1.7571174726,0.2905969627,-1.7454986896
7.430000,0.2789925728,-1.8128379038,0.2792534833,-1.8221114351
7.440000,0.2605997869,-1.8651395748,0.2657763771,-1.8627558850
7.450000,0.2417015664,-1.9139059415,0.2344441282,-1.9041539652
7.460000,0.2223338200,-1.9590269616,0.2242014877,-1.9540160199
7.470000,0.2025335226,-2.0003996055,0.1949796932,-1.9985037893
7.480000,0.1823386418,-2.0379283535,0.1762234638,-2.0279178926
7.490000,0.1617880612,-2.0715256743,0.1477214502,-2.0985579973
7.500000,0.1409214977,-2.1011124775,0.1316891652,-2.0943337243
7.510000,0.1197794152,-2.1266185340,0.1062625691,-2.1331592909
7.520000,0.0984029338,-2.1479828596,0.0886442013,-2.1662891885
7.530000,0.0768337362,-2.1651540539,0.0873701541,-2.1600420279
7.540000,0.0551139694,-2.1780905922,0.0456199805,-2.1643540067
7.550000,0.0332861457,-2.1867610642,0.0596099663,-2.1881355494
7.560000,0.0113930399,-2.1911443568,0.0163262189,-2.1816156113
7.570000,-0.0105224140,-2.1912297774,-0.0086740528,-2.1751069948
7.580000,-0.0324172276,-2.1870171177,-0.0410008054,-2.1738679732
7.590000,-0.0542484626,-2.1785166542,-0.0472453638,-2.1621170089
7.600000,-0.0759733358,-2.1657490881,-0.0817297141,-2.1583278132
7.610000,-0.0975493229,-2.1487454236,-0.0963292247,-2.1479910872
7.620000,-0.1189342600,-2.1275467878,-0.0933334146,-2.1435664459
7.630000,-0.1400864444,-2.1022041938,-0.1410470434,-2.1046648187
7.640000,-0.1609647317,-2.0727782514,-0.1494719984,-2.0812107173
7.650000,-0.1815286301,-2.0393388291,-0.1885603944,-2.0176294020
7.660000,-0.2017383915,-2.0019646733,-0.2020882764,-2.0037235314
7.670000,-0.2215550976,-1.9607429882,-0.2038470913,-1.9595109401
7.680000,-0.2409407427,-1.9157689850,-0.2472104133,-1.9102541313
7.690000,-0.2598583113,-1.8671454046,-0.2417338257,-1.8667093801
7.700000,-0.2782718507,-1.8149820200,-0.2711943314,-1.7980315096
7.710000,-0.2961465393,-1.7593951269,-0.3017712071,-1.7656216205
7.720000,-0.3134487486,-1.7005070269,-0.3071246712,-1.6985609524
7.730000,-0.3301461012,-1.6384455097,-0.3204205567,-1.6458702155
7.740000,-0.3462075228,-1.5733433412,-0.3399894232,-1.5865435663
7.750000,-0.3616032896,-1.5053377623,-0.3773055368,-1.5114554532
7.760000,-0.3763050704,-1.4345700027,-0.3835764422,-1.4349403706
7.770000,-0.3902859645,-1.3611848160,-0.3927611509,-1.3654778383
7.780000,-0.4035205345,-1.2853300385,-0.4042648688,-1.2922542483
7.790000,-0.4159848348,-1.2071561749,-0.4097781138,-1.2212193495
7.800000,-0.4276564368,-1.1268160151,-0.4258794268,-1.1276470708
7.810000,-0.4385144496,-1.0444642817,-0.4518678932,-1.0595114854
7.820000,-0.4485395381,-0.9602573118,-0.4447375596,-0.9526567521
7.830000,-0.4577139372,-0.8743527716,-0.4516080797,-0.8735283741
7.840000,-0.4660214640,-0.7869094055,-0.4604235596,-0.8014849205
7.850000,-0.4734475278,-0.6980868174,-0.4626397206,-0.7011789081
7.860000,-0.4799791372,-0.6080452845,-0.4716399156,-0.6155668485
7.870000,-0.4856049063,-0.5169456006,-0.4810131055,-0.5137538555
7.880000,-0.4903150593,-0.4249489472,-0.4910167164,-0.4115444427
7.890000,-0.4941014335,-0.3322167891,-0.5107110429,-0.3509685138
