t_s,theta_rad_clean,omega_rad_s_clean,theta_rad_noisy,omega_rad_s_noisy
0.760000,-0.4926765054,0.3699320213,-0.4918060347,0.3656508697
0.770000,-0.4885143193,0.4623851447,-0.4915043928,0.4773927426
0.780000,-0.4834314728,0.5540372018,-0.4825138650,0.5625394192
0.790000,-0.4774367834,0.6447268315,-0.4973124726,0.6412403102
0.800000,-0.4705406811,0.7342929960,-0.4727373999,0.7308004190
0.810000,-0.4627552038,0.8225750941,-0.4591840781,0.8193587436
0.820000,-0.4540939929,0.9094131012,-0.4393150524,0.9301805811
0.830000,-0.4445722864,0.9946477380,-0.4497549886,0.9984670926
0.840000,-0.4342069106,1.0781206696,-0.4422918466,1.0824210861
0.850000,-0.4230162694,1.1596747371,-0.4280338398,1.1699775717
0.860000,-0.4110203313,1.2391542224,-0.4018663102,1.2415421140
0.870000,-0.3982406137,1.3164051469,-0.3949531026,1.3138147254
0.880000,-0.3847001636,1.3912756039,-0.3899977656,1.3893121054
0.890000,-0.3704235351,1.4636161238,-0.3652908607,1.4629001112
0.900000,-0.3554367634,1.5332800699,-0.3544659879,1.5329078475
0.910000,-0.3397673339,1.6001240642,-0.3300808840,1.6074003596
0.920000,-0.3234441479,1.6640084386,-0.3304646789,1.6645278974
0.930000,-0.3064974827,1.7247977088,-0.3097741042,1.7321241096
0.940000,-0.2889589474,1.7823610676,-0.2928800289,1.7815539018
0.950000,-0.2708614338,1.8365728903,-0.2854965832,1.8373592422
0.960000,-0.2522390618,1.8873132506,-0.2492778590,1.8673312437
0.970000,-0.2331271201,1.9344684380,-0.2305165674,1.9436317148
0.980000,-0.2135620010,1.9779314727,-0.2135108665,1.9813963575
0.990000,-0.1935811311,2.0176026111,-0.1959270025,2.0275827122
1.000000,-0.1732228961,2.0533898352,-0.1873766035,2.0244272814
1.010000,-0.1525265612,2.0852093210,-0.1567330144,2.1060930681
1.020000,-0.1315321871,2.1129858768,-0.1349593323,2.1115899805
1.030000,-0.1102805416,2.1366533482,-0.1183033143,2.1477351764
1.040000,-0.0888130074,2.1561549823,-0.0904258645,2.1457559231
1.050000,-0.0671714860,2.1714437465,-0.0631309774,2.1775714855
1.060000,-0.0453982999,2.1824825967,-0.0265364409,2.1719484411
1.070000,-0.0235360911,2.1892446919,-0.0217903129,2.1830070023
1.080000,-0.0016277181,2.1917135507,0.0009477859,2.2108538642
1.090000,0.0202838479,2.1898831482,0.0195393887,2.1879763242
1.100000,0.0421556278,2.1837579517,0.0229679156,2.1859322805
1.110000,0.0639447396,2.1733528941,0.0636796008,2.1820535714
1.120000,0.0856085027,2.1586932860,0.0862108048,2.1636501049
1.130000,0.1071045408,2.1398146683,0.1317369619,2.1413188573
1.140000,0.1283908835,2.1167626056,0.1264672738,2.1204122156
1.150000,0.1494260648,2.0895924261,0.1524415383,2.1136265819
1.160000,0.1701692199,2.0583689096,0.1698221022,2.0577927217
1.170000,0.1905801772,2.0231659302,0.1788933968,2.0251769207
1.180000,0.2106195479,1.9840660569,0.2220477761,1.9945726009
1.190000,0.2302488106,1.9411601194,0.2377681409,1.9522153787
1.200000,0.2494303914,1.8945467442,0.2573407108,1.9064170473
1.210000,0.2681277397,1.8443318681,0.2590338651,1.8507191703
1.220000,0.2863053988,1.7906282341,0.3003333419,1.7791981850
1.230000,0.3039290713,1.7335548783,0.2899105607,1.7498891936
1.240000,0.3209656794,1.6732366114,0.3268342504,1.6617731575
1.250000,0.3373834202,1.6098035033,0.3592879765,1.6128298580
1.260000,0.3531518156,1.5433903750,0.3432464524,1.5358476165
1.270000,0.3682417575,1.4741363036,0.3625787802,1.4734949201
1.280000,0.3826255477,1.4021841454,0.3836220614,1.4054717695
1.290000,0.3962769337,1.3276800804,0.3912421772,1.3308936526
1.300000,0.4091711396,1.2507731834,0.3936645053,1.2549923910
1.310000,0.4212848929,1.1716150231,0.4219705227,1.1877521357
1.320000,0.4325964480,1.0903592918,0.4219734108,1.0948946348
1.330000,0.4430856050,1.0071614691,0.4478215293,1.0047199028
1.340000,0.4527337268,0.9221785175,0.4435394844,0.9318193892
1.350000,0.4615237520,0.8355686126,0.4770230961,0.8474633175
1.360000,0.4694402063,0.7474909069,0.4616076734,0.7352148288
1.370000,0.4764692105,0.6581053256,0.4732485954,0.6640793263
1.380000,0.4825984882,0.5675723937,0.4907336604,0.5745841211
1.390000,0.4878173705,0.4760530920,0.4755087273,0.4730774570
1.400000,0.4921167999,0.3837087400,0.4943913992,0.3974658081
1.410000,0.4954893336,0.2907009009,0.5085607612,0.2892003451
1.420000,0.4979291454,0.1971913092,0.4818543130,0.1984470737
1.430000,0.4994320268,0.1033418124,0.5012783654,0.1016110941
1.440000,0.4999953883,0.0093143275,0.5025942163,0.0094701179
1.450000,0.4996182599,-0.0847291948,0.5074364886,-0.0956919457
1.460000,0.4983012908,-0.1786268008,0.4859317837,-0.1930273096
1.470000,0.4960467500,-0.2722165641,0.4828421839,-0.2562715135
1.480000,0.4928585252,-0.3653366203,0.4980779409,-0.3738062338
1.490000,0.4887421225,-0.4578252086,0.4917119692,-0.4677391321
1.500000,0.4837046647,-0.5495207264,0.4862095932,-0.5710546275
1.510000,0.4777548895,-0.6402617993,0.4812193716,-0.6466514168
1.520000,0.4709031471,-0.7298873708,0.4641028998,-0.7431182688
1.530000,0.4631613959,-0.8182368152,0.4654839329,-0.8018166636
1.540000,0.4545431981,-0.9051500755,0.4574739229,-0.8950519046
1.550000,0.4450637128,-0.9904678312,0.4379201987,-0.9973493346
1.560000,0.4347396879,-1.0740316954,0.4533974330,-1.0515073373
1.570000,0.4235894495,-1.1556844450,0.4283277787,-1.1458667901
1.580000,0.4116328889,-1.2352702837,0.3997198539,-1.2385185976
1.590000,0.3988914473,-1.3126351395,0.4054569834,-1.3376291966
1.600000,0.3853880964,-1.3876269947,0.3756412797,-1.3647175690
1.610000,0.3711473164,-1.4600962499,0.3790181624,-1.4739919745
1.620000,0.3561950697,-1.5298961184,0.3677810255,-1.5463501059
1.630000,0.3405587709,-1.5968830504,0.3323519477,-1.5866573461
1.640000,0.3242672518,-1.6609171831,0.3339010131,-1.6365196590
1.650000,0.3073507227,-1.7218628137,0.3114785320,-1.7080200855
1.660000,0.2898407280,-1.7795888915,0.2980613296,-1.7739498003
1.670000,0.2717700970,-1.8339695233,0.2907380269,-1.8280219799
1.680000,0.2531728904,-1.8848844884,0.2507190093,-1.8763503328
1.690000,0.2340843403,-1.9322197564,0.2265469787,-1.9246304705
1.700000,0.2145407862,-1.9758680021,0.2056456419,-1.9730560879
1.710000,0.1945796049,-2.0157291120,0.1864215021,-2.0146871010
1.720000,0.1742391367,-2.0517106747,0.1734681196,-2.0523366060
1.730000,0.1535586050,-2.0837284496,0.1569701248,-2.0912680955
